id;Kanji;Old Kanji;Radical;Strokes;Grade;Meanings;Kun yomi;Kun romaji;On yomi;On romaji
794;詞;;言;12;6;poetry;;;シ;shi
795;歯;齒;齒;12;3;tooth;は; ha;シ;shi
796;嗣;;口;13;S;heir;;;シ;shi
797;試;;言;13;4;test;こころ-みる, ため-す; kokoro-miru,  tame-su;シ;shi
798;詩;;言;13;3;poem;;;シ;shi
799;資;;貝;13;5;resources;;;シ;shi
800;飼;;食;13;5;domesticate;か-う; ka-u;シ;shi
801;誌;;言;14;6;document;;;シ;shi
802;雌;;隹;14;S;feminine;め, めす; me,  mesu;シ;shi
803;摯;;手;15;S;seriousness;;;シ;shi
804;賜;;貝;15;S;grant;たまわ-る; tamawa-ru;シ;shi
805;諮;;言;16;S;consult with;はか-る; haka-ru;シ;shi
806;示;;示;5;5;indicate;しめ-す; shime-su;ジ, シ;ji,  shi
807;字;;子;6;1;letter;あざ; aza;ジ;ji
808;寺;;寸;6;2;Buddhist temple;てら; tera;ジ;ji
809;次;;欠;6;3;next;つ-ぐ, つぎ; tsu-gu,  tsugi;ジ, シ;ji,  shi
810;耳;;耳;6;1;ear;みみ; mimi;ジ;ji
811;自;;自;6;2;oneself;みずか-ら; mizuka-ra;ジ, シ;ji,  shi
812;似;;人;7;5;becoming;に-る; ni-ru;ジ;ji
813;児;兒;儿;7;4;child;;;ジ, （ニ）;ji,  (ni)
814;事;;亅;8;3;abstract thing;こと; koto;ジ, （ズ）;ji,  (zu)
815;侍;;人;8;S;waiter;さむらい; samurai;ジ;ji
816;治;;水;8;4;govern;おさ-める, おさ-まる, なお-る, なお-す; osa-meru,  osa-maru,  nao-ru,  nao-su;ジ, チ;ji,  chi
817;持;;手;9;3;hold;も-つ; mo-tsu;ジ;ji
818;時;;日;10;2;time;とき; toki;ジ;ji
819;滋;;水;12;4;nourishing;;;ジ;ji
820;慈;;心;13;S;mercy;いつく-しむ; itsuku-shimu;ジ;ji
821;辞;辭;辛;13;4;resign;や-める; ya-meru;ジ;ji
822;磁;;石;14;6;magnet;;;ジ;ji
823;餌;;食;15;S;bait;えさ, え; esa,  e;ジ;ji
824;璽;;玉;19;S;emperor's seal;;;ジ;ji
825;鹿;;鹿;11;4;deer;しか, （か）;shika,  (ka);;
826;式;;弋;6;3;style;;;シキ;shiki
827;識;;言;19;5;discriminating;;;シキ;shiki
828;軸;;車;12;S;axis;;;ジク;jiku
829;七;;一;2;1;seven;なな, なな-つ, （なの）; nana,  nana-tsu,  (nano);シチ;shichi
830;𠮟;;口;5;S;scold;しか-る; shika-ru;シツ;shitsu
831;失;;大;5;4;lose;うしな-う; ushina-u;シツ;shitsu
832;室;;宀;9;2;room;むろ; muro;シツ;shitsu
833;疾;;疒;10;S;rapidly;;;シツ;shitsu
834;執;;土;11;S;tenacious;と-る; to-ru;シツ, シュウ;shitsu,  shuu
835;湿;濕;水;12;S;damp;しめ-る, しめ-す; shime-ru,  shime-su;シツ;shitsu
836;嫉;;女;13;S;envy;;;シツ;shitsu
837;漆;;水;14;S;lacquer;うるし; urushi;シツ;shitsu
838;質;;貝;15;5;quality;;;シツ, シチ, （チ）;shitsu,  shichi,  (chi)
839;実;實;宀;8;3;truth;み, みの-る; mi,  mino-ru;ジツ;jitsu
840;芝;;艸;6;S;turf;しば;shiba;;
841;写;寫;宀;5;3;copy;うつ-す, うつ-る; utsu-su,  utsu-ru;シャ;sha
842;社;社;示;7;2;company;やしろ; yashiro;シャ;sha
843;車;;車;7;1;car;くるま; kuruma;シャ;sha
844;舎;舍;舌;8;5;cottage;;;シャ;sha
845;者;者;老;8;3;someone;もの; mono;シャ;sha
846;射;;寸;10;6;shoot;い-る; i-ru;シャ;sha
847;捨;;手;11;6;throw away;す-てる; su-teru;シャ;sha
848;赦;;赤;11;S;pardon;;;シャ;sha
849;斜;;斗;11;S;diagonal;なな-め; nana-me;シャ;sha
850;煮;煮;火;12;S;boil;に-る, に-える, に-やす; ni-ru,  ni-eru,  ni-yasu;シャ;sha
851;遮;;辵;14;S;intercept;さえぎ-る; saegi-ru;シャ;sha
852;謝;;言;17;5;apologize;あやま-る; ayama-ru;シャ;sha
853;邪;;邑;8;S;wicked;;;ジャ;ja
854;蛇;;虫;11;S;snake;へび; hebi;ジャ, ダ;ja,  da
855;尺;;尸;4;6;shaku;;;シャク;shaku
856;借;;人;10;4;borrow;か-りる; ka-riru;シャク;shaku
857;酌;;酉;10;S;bartending;く-む; ku-mu;シャク;shaku
858;釈;釋;釆;11;S;explanation;;;シャク;shaku
859;爵;;爪;17;S;baron;;;シャク;shaku
860;若;;艸;8;6;young;わか-い, も-しくは; waka-i,  mo-shikuha;ジャク, （ニャク）;jaku,  (nyaku)
861;弱;;弓;10;2;weak;よわ-い, よわ-る, よわ-まる, よわ-める; yowa-i,  yowa-ru,  yowa-maru,  yowa-meru;ジャク;jaku
862;寂;;宀;11;S;loneliness;さび, さび-しい, さび-れる; sabi,  sabi-shii,  sabi-reru;ジャク, （セキ）;jaku,  (seki)
863;手;;手;4;1;hand;て, （た）; te,  (ta);シュ;shu
864;主;;丶;5;3;master;ぬし, おも; nushi,  omo;シュ, （ス）;shu,  (su)
865;守;;宀;6;3;protect;まも-る, も-り; mamo-ru,  mo-ri;シュ, （ス）;shu,  (su)
866;朱;;木;6;S;vermilion;;;シュ;shu
867;取;;又;8;3;take;と-る; to-ru;シュ;shu
868;狩;;犬;9;S;hunt;か-る, か-り; ka-ru,  ka-ri;シュ;shu
869;首;;首;9;2;neck;くび; kubi;シュ;shu
870;殊;;歹;10;S;particularly;こと; koto;シュ;shu
871;珠;;玉;10;S;pearl;;;シュ;shu
872;酒;;酉;10;3;alcoholic drink;さけ, （さか）; sake,  (saka);シュ;shu
873;腫;;肉;13;S;tumor;は-れる, は-らす; ha-reru,  ha-rasu;シュ;shu
874;種;;禾;14;4;kind;たね; tane;シュ;shu
875;趣;;走;15;S;gist;おもむき; omomuki;シュ;shu
876;寿;壽;士;7;S;longevity;ことぶき; kotobuki;ジュ;ju
877;受;;又;8;3;accept;う-ける, う-かる; u-keru,  u-karu;ジュ;ju
878;呪;;口;8;S;curse;のろ-う; noro-u;ジュ;ju
879;授;;手;11;5;instruct;さず-ける, さず-かる; sazu-keru,  sazu-karu;ジュ;ju
880;需;;雨;14;S;demand;;;ジュ;ju
881;儒;;人;16;S;Confucian;;;ジュ;ju
882;樹;;木;16;6;trees;;;ジュ;ju
883;収;收;攴;4;6;take in;おさ-める, おさ-まる; osa-meru,  osa-maru;シュウ;shuu
884;囚;;囗;5;S;captured;;;シュウ;shuu
885;州;;巛;6;3;state;す; su;シュウ;shuu
886;舟;;舟;6;S;boat;ふね, （ふな）; fune,  (funa);シュウ;shuu
887;秀;;禾;7;S;excel;ひい-でる; hii-deru;シュウ;shuu
888;周;;口;8;4;circumference;まわ-り; mawa-ri;シュウ;shuu
889;宗;;宀;8;6;religion;;;シュウ, ソウ;shuu,  sou
890;拾;;手;9;3;pick up;ひろ-う; hiro-u;シュウ, ジュウ;shuu,  juu
891;秋;;禾;9;2;autumn;あき; aki;シュウ;shuu
892;臭;臭;自;9;S;stinking;くさ-い, にお-う; kusa-i,  nio-u;シュウ;shuu
893;修;;人;10;5;discipline;おさ-める, おさ-まる; osa-meru,  osa-maru;シュウ, （シュ）;shuu,  (shu)
894;袖;;衣;10;S;sleeve;そで; sode;シュウ;shuu
895;終;;糸;11;3;end;お-わる, お-える; o-waru,  o-eru;シュウ;shuu
896;羞;;羊;11;S;feel ashamed;;;シュウ;shuu
897;習;;羽;11;3;learn;なら-う; nara-u;シュウ;shuu
898;週;;辵;11;2;week;;;シュウ;shuu
899;就;;尢;12;6;concerning;つ-く, つ-ける; tsu-ku,  tsu-keru;シュウ, （ジュ）;shuu,  (ju)
900;衆;;血;12;6;masses;;;シュウ, （シュ）;shuu,  (shu)
901;集;;隹;12;3;collect;あつ-まる, あつ-める, つど-う; atsu-maru,  atsu-meru,  tsudo-u;シュウ;shuu
902;愁;;心;13;S;distress;うれ-える, うれ-い; ure-eru,  ure-i;シュウ;shuu
903;酬;;酉;13;S;repay;;;シュウ;shuu
904;醜;;酉;17;S;ugly;みにく-い; miniku-i;シュウ;shuu
905;蹴;;足;19;S;kick;け-る; ke-ru;シュウ;shuu
906;襲;;衣;22;S;attack;おそ-う; oso-u;シュウ;shuu
907;十;;十;2;1;ten;とお, と; too,  to;ジュウ, ジッ;juu,  ji'
908;汁;;水;5;S;soup;しる; shiru;ジュウ;juu
909;充;;儿;6;S;allot;あ-てる; a-teru;ジュウ;juu
910;住;;人;7;3;dwelling;す-む, す-まう; su-mu,  su-mau;ジュウ;juu
911;柔;;木;9;S;tender;やわ-らか, やわ-らかい; yawa-raka,  yawa-rakai;ジュウ, ニュウ;juu,  nyuu
912;重;;里;9;3;heavy;え, おも-い, かさ-ねる, かさ-なる; e,  omo-i,  kasa-neru,  kasa-naru;ジュウ, チョウ;juu,  chou
913;従;從;彳;10;6;obey;したが-う, したが-える; shitaga-u,  shitaga-eru;ジュウ, （ショウ）, （ジュ）;juu,  (shou),  (ju)
914;渋;澁;水;11;S;astringent;しぶ, しぶ-い, しぶ-る; shibu,  shibu-i,  shibu-ru;ジュウ;juu
915;銃;;金;14;S;gun;;;ジュウ;juu
916;獣;獸;犬;16;S;animal;けもの; kemono;ジュウ;juu
917;縦;縱;糸;16;6;vertical;たて; tate;ジュウ;juu
918;叔;;又;8;S;uncle;;;シュク;shuku
919;祝;祝;示;9;4;celebrate;いわ-う; iwa-u;シュク, （シュウ）;shuku,  (shuu)
920;宿;;宀;11;3;inn;やど, やど-る, やど-す; yado,  yado-ru,  yado-su;シュク;shuku
921;淑;;水;11;S;graceful;;;シュク;shuku
922;粛;肅;聿;11;S;solemn;;;シュク;shuku
923;縮;;糸;17;6;shrink;ちぢ-む, ちぢ-まる, ちぢ-める, ちぢ-れる, ちぢ-らす; chiji-mu,  chiji-maru,  chiji-meru,  chiji-reru,  chiji-rasu;シュク;shuku
924;塾;;土;14;S;cram school;;;ジュク;juku
925;熟;;火;15;6;ripen;う-れる; u-reru;ジュク;juku
926;出;;凵;5;1;exit;で-る, だ-す; de-ru,  da-su;シュツ, （スイ）;shutsu,  (sui)
927;述;;辵;8;5;mention;の-べる; no-beru;ジュツ;jutsu
928;術;;行;11;5;art;;;ジュツ;jutsu
929;俊;;人;9;S;genius;;;シュン;shun
930;春;;日;9;2;springtime;はる; haru;シュン;shun
931;瞬;;目;18;S;wink;またた-く; matata-ku;シュン;shun
932;旬;;日;6;S;10-day period (of the month);;;ジュン, （シュン）;jun,  (shun)
933;巡;;巛;6;S;patrol;めぐ-る; megu-ru;ジュン;jun
934;盾;;目;9;S;shield;たて; tate;ジュン;jun
935;准;;冫;10;S;quasi-;;;ジュン;jun
936;殉;;歹;10;S;martyrdom;;;ジュン;jun
937;純;;糸;10;6;genuine;;;ジュン;jun
938;循;;彳;12;S;sequential;;;ジュン;jun
939;順;;頁;12;4;obey;;;ジュン;jun
940;準;;水;13;5;standard;;;ジュン;jun
941;潤;;水;15;S;wet;うるお-う, うるお-す, うる-む; uruo-u,  uruo-su,  uru-mu;ジュン;jun
942;遵;;辵;15;S;abide by;;;ジュン;jun
943;処;處;虍;5;6;dispose;;;ショ;sho
944;初;;刀;7;4;first;はじ-め, はじ-めて, はつ, うい, そ-める; haji-me,  haji-mete,  hatsu,  ui,  so-meru;ショ;sho
945;所;;戶;8;3;place;ところ; tokoro;ショ;sho
946;書;;曰;10;2;write;か-く; ka-ku;ショ;sho
947;庶;;广;11;S;commoner;;;ショ;sho
948;暑;暑;日;12;3;hot;あつ-い; atsu-i;ショ;sho
949;署;署;网;13;6;government office;;;ショ;sho
950;緒;緖;糸;14;S;thong;お; o;ショ, （チョ）;sho,  (cho)
951;諸;諸;言;15;6;various;;;ショ;sho
952;女;;女;3;1;woman;おんな, め; onna,  me;ジョ, ニョ, （ニョウ）;jo,  nyo,  (nyou)
953;如;;女;6;S;likeness;;;ジョ, ニョ;jo,  nyo
954;助;;力;7;3;help;たす-ける, たす-かる, すけ; tasu-keru,  tasu-karu,  suke;ジョ;jo
955;序;;广;7;5;preface;;;ジョ;jo
956;叙;敍;攴;9;S;confer;;;ジョ;jo
957;徐;;彳;10;S;gradually;;;ジョ;jo
958;除;;阜;10;6;exclude;のぞ-く; nozo-ku;ジョ, （ジ）;jo,  (ji)
959;小;;小;3;1;small;ちい-さい, こ, お; chii-sai,  ko,  o;ショウ;shou
960;升;;十;4;S;measuring box;ます; masu;ショウ;shou
961;少;;小;4;2;few;すく-ない, すこ-し; suku-nai,  suko-shi;ショウ;shou
962;召;;口;5;S;summon;め-す; me-su;ショウ;shou
963;匠;;匚;6;S;artisan;;;ショウ;shou
964;床;;广;7;S;bed;とこ, ゆか; toko,  yuka;ショウ;shou
965;抄;;手;7;S;extract;;;ショウ;shou
966;肖;;肉;7;S;resemblance;;;ショウ;shou
967;尚;;小;8;S;esteem;;;ショウ;shou
968;招;;手;8;5;beckon;まね-く; mane-ku;ショウ;shou
969;承;;手;8;6;acquiesce;うけたまわ-る; uketamawa-ru;ショウ;shou
970;昇;;日;8;S;rise up;のぼ-る; nobo-ru;ショウ;shou
971;松;;木;8;4;pine;まつ; matsu;ショウ;shou
972;沼;;水;8;S;marsh;ぬま; numa;ショウ;shou
973;昭;;日;9;3;shining;;;ショウ;shou
974;宵;;宀;10;S;wee hours;よい; yoi;ショウ;shou
975;将;將;寸;10;6;leader;;;ショウ;shou
976;消;;水;10;3;extinguish;き-える, け-す; ki-eru,  ke-su;ショウ;shou
977;症;;疒;10;S;symptoms;;;ショウ;shou
978;祥;祥;示;10;S;auspicious;;;ショウ;shou
979;称;稱;禾;10;S;appellation;;;ショウ;shou
980;笑;;竹;10;4;laugh;わら-う, え-む; wara-u,  e-mu;ショウ;shou
981;唱;;口;11;4;chant;とな-える; tona-eru;ショウ;shou
982;商;;口;11;3;sell;あきな-う; akina-u;ショウ;shou
983;渉;涉;水;11;S;ford;;;ショウ;shou
984;章;;立;11;3;chapter;;;ショウ;shou
985;紹;;糸;11;S;introduce;;;ショウ;shou
986;訟;;言;11;S;sue;;;ショウ;shou
987;勝;;力;12;3;win;か-つ, まさ-る; ka-tsu,  masa-ru;ショウ;shou
988;掌;;手;12;S;manipulate;;;ショウ;shou
989;晶;;日;12;S;sparkle;;;ショウ;shou
990;焼;燒;火;12;4;bake;や-く, や-ける; ya-ku,  ya-keru;ショウ;shou
991;焦;;火;12;S;char;こ-げる, こ-がす, こ-がれる, あせ-る; ko-geru,  ko-gasu,  ko-gareru,  ase-ru;ショウ;shou
992;硝;;石;12;S;nitrate;;;ショウ;shou
993;粧;;米;12;S;cosmetics;;;ショウ;shou
994;詔;;言;12;S;imperial edict;みことのり; mikotonori;ショウ;shou
995;証;證;言;12;5;evidence;;;ショウ;shou
996;象;;豕;12;5;elephant;;;ショウ, ゾウ;shou,  zou
997;傷;;人;13;6;wound;きず, いた-む, いた-める; kizu,  ita-mu,  ita-meru;ショウ;shou
998;奨;奬;大;13;S;exhort;;;ショウ;shou
999;照;;火;13;4;illuminate;て-る, て-らす, て-れる; te-ru,  te-rasu,  te-reru;ショウ;shou
1000;詳;;言;13;S;detailed;くわ-しい; kuwa-shii;ショウ;shou
1001;彰;;彡;14;S;patent;;;ショウ;shou
1002;障;;阜;14;6;hurt;さわ-る; sawa-ru;ショウ;shou
1003;憧;;心;15;S;desire;あこが-れる; akoga-reru;ショウ;shou
1004;衝;;行;15;S;collide;;;ショウ;shou
1005;賞;;貝;15;5;prize;;;ショウ;shou
1006;償;;人;17;S;reparation;つぐな-う; tsuguna-u;ショウ;shou
1007;礁;;石;17;S;reef;;;ショウ;shou
1008;鐘;;金;20;S;bell;かね; kane;ショウ;shou
1009;上;;一;3;1;up;うえ, （うわ）, かみ, あ-げる, あ-がる, のぼ-る, のぼ-せる, のぼ-す; ue,  (uwa),  kami,  a-geru,  a-garu,  nobo-ru,  nobo-seru,  nobo-su;ジョウ, （ショウ）;jou,  (shou)
1010;丈;;一;3;S;length;たけ; take;ジョウ;jou
1011;冗;;冖;4;S;superfluous;;;ジョウ;jou
1012;条;條;木;7;5;clause;;;ジョウ;jou
1013;状;狀;犬;7;5;form;;;ジョウ;jou
1014;乗;乘;丿;9;3;ride;の-る, の-せる; no-ru,  no-seru;ジョウ;jou
1015;城;;土;9;4;castle;しろ; shiro;ジョウ;jou
1016;浄;淨;水;9;S;clean;;;ジョウ;jou
1017;剰;剩;刀;11;S;surplus;;;ジョウ;jou
1018;常;;巾;11;5;normal;つね, とこ; tsune,  toko;ジョウ;jou
1019;情;;心;11;5;feelings;なさ-け; nasa-ke;ジョウ, （セイ）;jou,  (sei)
1020;場;;土;12;2;place;ば; ba;ジョウ;jou
1021;畳;疊;田;12;S;tatami mat;たた-む, たたみ; tata-mu,  tatami;ジョウ;jou
1022;蒸;;艸;13;6;steam;む-す, む-れる, む-らす; mu-su,  mu-reru,  mu-rasu;ジョウ;jou
1023;縄;繩;糸;15;4;straw rope;なわ; nawa;ジョウ;jou
1024;壌;壤;土;16;S;lot;;;ジョウ;jou
1025;嬢;孃;女;16;S;lass;;;ジョウ;jou
1026;錠;;金;16;S;lock;;;ジョウ;jou
1027;譲;讓;言;20;S;defer;ゆず-る; yuzu-ru;ジョウ;jou
1028;醸;釀;酉;20;S;brew;かも-す; kamo-su;ジョウ;jou
1029;色;;色;6;2;color;いろ; iro;ショク, シキ;shoku,  shiki
1030;拭;;手;9;S;wipe;ふ-く, ぬぐ-う; fu-ku,  nugu-u;ショク;shoku
1031;食;;食;9;2;eat, meal;く-う, く-らう, た-べる; ku-u,  ku-rau,  ta-beru;ショク, （ジキ）;shoku,  (jiki)
1032;植;;木;12;3;plant;う-える, う-わる; u-eru,  u-waru;ショク;shoku
1033;殖;;歹;12;S;augment;ふ-える, ふ-やす; fu-eru,  fu-yasu;ショク;shoku
1034;飾;;食;13;S;decorate;かざ-る; kaza-ru;ショク;shoku
1035;触;觸;角;13;S;contact;ふ-れる, さわ-る; fu-reru,  sawa-ru;ショク;shoku
1036;嘱;囑;口;15;S;entrust;;;ショク;shoku
1037;織;;糸;18;5;weave;お-る; o-ru;ショク, シキ;shoku,  shiki
1038;職;;耳;18;5;employment;;;ショク;shoku
1039;辱;;辰;10;S;embarrass;はずかし-める; hazukashi-meru;ジョク;joku
1040;尻;;尸;5;S;buttocks;しり;shiri;;
1041;心;;心;4;2;heart;こころ; kokoro;シン;shin
1042;申;;田;5;3;say;もう-す; mou-su;シン;shin
1043;伸;;人;7;S;lengthen;の-びる, の-ばす, の-べる; no-biru,  no-basu,  no-beru;シン;shin
1044;臣;;臣;7;4;retainer;;;シン, ジン;shin,  jin
1045;芯;;艸;7;S;core;;;シン;shin
1046;身;;身;7;3;body;み; mi;シン;shin
1047;辛;;辛;7;S;spicy;から-い; kara-i;シン;shin
1048;侵;;人;9;S;encroach;おか-す; oka-su;シン;shin
1049;信;;人;9;4;trust;;;シン;shin
1050;津;;水;9;S;haven;つ; tsu;シン;shin
1051;神;神;示;9;3;god;かみ, （かん）, （こう）; kami,  (kan),  (kou);シン, ジン;shin,  jin
1052;唇;;口;10;S;lips;くちびる; kuchibiru;シン;shin
1053;娠;;女;10;S;with child;;;シン;shin
1054;振;;手;10;S;shake;ふ-る, ふ-るう, ふ-れる; fu-ru,  fu-ruu,  fu-reru;シン;shin
1055;浸;;水;10;S;immersed;ひた-す, ひた-る; hita-su,  hita-ru;シン;shin
1056;真;眞;目;10;3;true;ま; ma;シン;shin
1057;針;;金;10;6;needle;はり; hari;シン;shin
1058;深;;水;11;3;deep;ふか-い, ふか-まる, ふか-める; fuka-i,  fuka-maru,  fuka-meru;シン;shin
1059;紳;;糸;11;S;sire;;;シン;shin
1060;進;;辵;11;3;advance;すす-む, すす-める; susu-mu,  susu-meru;シン;shin
1061;森;;木;12;1;forest;もり; mori;シン;shin
1062;診;;言;12;S;checkup;み-る; mi-ru;シン;shin
1063;寝;寢;宀;13;S;lie down;ね-る, ね-かす; ne-ru,  ne-kasu;シン;shin
1064;慎;愼;心;13;S;humility;つつし-む; tsutsushi-mu;シン;shin
1065;新;;斤;13;2;new;あたら-しい, あら-た, にい; atara-shii,  ara-ta,  nii;シン;shin
1066;審;;宀;15;S;examine;;;シン;shin
1067;震;;雨;15;S;quake;ふる-う, ふる-える; furu-u,  furu-eru;シン;shin
1068;薪;;艸;16;S;fuel;たきぎ; takigi;シン;shin
1069;親;;見;16;2;parent;おや, した-しい, した-しむ; oya,  shita-shii,  shita-shimu;シン;shin
1070;人;;人;2;1;person;ひと; hito;ジン, ニン;jin,  nin
1071;刃;;刀;3;S;blade;は; ha;ジン;jin
1072;仁;;人;4;6;humanity;;;ジン, （ニ）;jin,  (ni)
1073;尽;盡;皿;6;S;exhaust;つ-くす, つ-きる, つ-かす; tsu-kusu,  tsu-kiru,  tsu-kasu;ジン;jin
1074;迅;;辵;6;S;swift;;;ジン;jin
1075;甚;;甘;9;S;tremendously;はなは-だ, はなは-だしい; hanaha-da,  hanaha-dashii;ジン;jin
1076;陣;;阜;10;S;camp;;;ジン;jin
1077;尋;;寸;12;S;inquire;たず-ねる; tazu-neru;ジン;jin
1078;腎;;肉;13;S;kidney;;;ジン;jin
1079;須;;頁;12;S;by all means;;;ス;su
1080;図;圖;囗;7;2;diagram;はか-る; haka-ru;ズ, ト;zu,  to
1081;水;;水;4;1;water;みず; mizu;スイ;sui
1082;吹;;口;7;S;blow;ふ-く; fu-ku;スイ;sui
1083;垂;;土;8;6;droop;た-れる, た-らす; ta-reru,  ta-rasu;スイ;sui
1084;炊;;火;8;S;cook;た-く; ta-ku;スイ;sui
1085;帥;;巾;9;S;commander;;;スイ;sui
1086;粋;粹;米;10;S;chic;いき; iki;スイ;sui
1087;衰;;衣;10;S;decline;おとろ-える; otoro-eru;スイ;sui
1088;推;;手;11;6;infer;お-す; o-su;スイ;sui
1089;酔;醉;酉;11;S;drunk;よ-う; yo-u;スイ;sui
1090;遂;;辵;12;S;consummate;と-げる; to-geru;スイ;sui
1091;睡;;目;13;S;drowsy;;;スイ;sui
1092;穂;穗;禾;15;S;ear;ほ; ho;スイ;sui
1093;随;隨;阜;12;S;follow;;;ズイ;zui
1094;髄;髓;骨;19;S;marrow;;;ズイ;zui
1095;枢;樞;木;8;S;hinge;;;スウ;suu
1096;崇;;山;11;S;adore;;;スウ;suu
1097;数;數;攴;13;2;number;かず, かぞ-える; kazu,  kazo-eru;スウ, （ス）;suu,  (su)
1098;据;;手;11;S;set;す-える, す-わる;su-eru,  su-waru;;
1099;杉;;木;7;S;cedar;すぎ;sugi;;
1100;裾;;衣;13;S;cuff;すそ;suso;;
1101;寸;;寸;3;6;measurement;;;スン;sun
1102;瀬;瀨;水;19;S;rapids;せ;se;;
1103;是;;日;9;S;just so;;;ゼ;ze
1104;井;;二;4;4;well;い; i;セイ, （ショウ）;sei,  (shou)
1105;世;;一;5;3;world;よ; yo;セイ, セ;sei,  se
1106;正;;止;5;1;correct;ただ-しい, ただ-す, まさ; tada-shii,  tada-su,  masa;セイ, ショウ;sei,  shou
1107;生;;生;5;1;life;い-きる, い-かす, い-ける, う-まれる, う-む, お-う, は-える, は-やす, き, なま; i-kiru,  i-kasu,  i-keru,  u-mareru,  u-mu,  o-u,  ha-eru,  ha-yasu,  ki,  nama;セイ, ショウ;sei,  shou
1108;成;;戈;6;4;become;な-る, な-す; na-ru,  na-su;セイ, （ジョウ）;sei,  (jou)
1109;西;;襾;6;2;west;にし; nishi;セイ, サイ;sei,  sai
1110;声;聲;耳;7;2;voice;こえ, （こわ）; koe,  (kowa);セイ, （ショウ）;sei,  (shou)
1111;制;;刀;8;5;control;;;セイ;sei
1112;姓;;女;8;S;surname;;;セイ, ショウ;sei,  shou
1113;征;;彳;8;S;subjugate;;;セイ;sei
1114;性;;心;8;5;gender;;;セイ, ショウ;sei,  shou
1115;青;;靑;8;1;blue;あお, あお-い; ao,  ao-i;セイ, （ショウ）;sei,  (shou)
1116;斉;齊;齊;8;S;adjusted;;;セイ;sei
1117;政;;攴;9;5;politics;まつりごと; matsurigoto;セイ, （ショウ）;sei,  (shou)
1118;星;;日;9;2;star;ほし; hoshi;セイ, （ショウ）;sei,  (shou)
1119;牲;;牛;9;S;animal sacrifice;;;セイ;sei
1120;省;;目;9;4;government ministry;かえり-みる, はぶ-く; kaeri-miru,  habu-ku;セイ, ショウ;sei,  shou
1121;凄;;冫;10;S;uncanny;;;セイ;sei
1122;逝;;辵;10;S;departed;ゆ-く, い-く; yu-ku,  i-ku;セイ;sei
1123;清;;水;11;4;pure;きよ-い, きよ-まる, きよ-める; kiyo-i,  kiyo-maru,  kiyo-meru;セイ, （ショウ）;sei,  (shou)
1124;盛;;皿;11;6;prosper;も-る, さか-る, さか-ん; mo-ru,  saka-ru,  saka-n;セイ, （ジョウ）;sei,  (jou)
1125;婿;;女;12;S;bridegroom;むこ; muko;セイ;sei
1126;晴;;日;12;2;clear up;は-れる, は-らす; ha-reru,  ha-rasu;セイ;sei
1127;勢;;力;13;5;power;いきお-い; ikio-i;セイ;sei
1128;聖;;耳;13;6;holy;;;セイ;sei
1129;誠;;言;13;6;sincerity;まこと; makoto;セイ;sei
1130;精;;米;14;5;refined;;;セイ, （ショウ）;sei,  (shou)
1131;製;;衣;14;5;manufacture;;;セイ;sei
1132;誓;;言;14;S;vow;ちか-う; chika-u;セイ;sei
1133;静;靜;靑;14;4;quiet;しず, しず-か, しず-まる, しず-める; shizu,  shizu-ka,  shizu-maru,  shizu-meru;セイ, （ジョウ）;sei,  (jou)
1134;請;;言;15;S;solicit;こ-う, う-ける; ko-u,  u-keru;セイ, （シン）;sei,  (shin)
1135;整;;攴;16;3;put in order;ととの-える, ととの-う; totono-eru,  totono-u;セイ;sei
1136;醒;;酉;16;S;be disillusioned;;;セイ;sei
1137;税;;禾;12;5;tax;;;ゼイ;zei
1138;夕;;夕;3;1;evening;ゆう; yuu;セキ;seki
1139;斥;;斤;5;S;reject;;;セキ;seki
1140;石;;石;5;1;stone;いし; ishi;セキ, （シャク）, （コク）;seki,  (shaku),  (koku)
1141;赤;;赤;7;1;red;あか, あか-い, あか-らむ, あか-らめる; aka,  aka-i,  aka-ramu,  aka-rameru;セキ, （シャク）;seki,  (shaku)
1142;昔;;日;8;3;long ago;むかし; mukashi;セキ, （シャク）;seki,  (shaku)
1143;析;;木;8;S;chop;;;セキ;seki
1144;席;;巾;10;4;seat;;;セキ;seki
1145;脊;;肉;10;S;stature;;;セキ;seki
1146;隻;;隹;10;S;vessels;;;セキ;seki
1147;惜;;心;11;S;pity;お-しい, お-しむ; o-shii,  o-shimu;セキ;seki
1148;戚;;戈;11;S;grieve;;;セキ;seki
1149;責;;貝;11;5;blame;せ-める; se-meru;セキ;seki
1150;跡;;足;13;S;tracks;あと; ato;セキ;seki
1151;積;;禾;16;4;accumulate;つ-む, つ-もる; tsu-mu,  tsu-moru;セキ;seki
1152;績;;糸;17;5;exploits;;;セキ;seki
1153;籍;;竹;20;S;enroll;;;セキ;seki
1154;切;;刀;4;2;cut;き-る, き-れる; ki-ru,  ki-reru;セツ, （サイ）;setsu,  (sai)
1155;折;;手;7;4;fold;お-る, おり, お-れる; o-ru,  ori,  o-reru;セツ;setsu
1156;拙;;手;8;S;bungling;つたな-い; tsutana-i;セツ;setsu
1157;窃;竊;穴;9;S;stealth;;;セツ;setsu
1158;接;;手;11;5;contact;つ-ぐ; tsu-gu;セツ;setsu
1159;設;;言;11;5;establish;もう-ける; mou-keru;セツ;setsu
1160;雪;;雨;11;2;snow;ゆき; yuki;セツ;setsu
1161;摂;攝;手;13;S;vicarious;;;セツ;setsu
